MSSubClass,MSZoning,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,PoolQC,Fence,SaleType,SaleCondition,SalePrice,TotalBsmtSF_1stFlrSF_PC,2ndFlrSF_GrLivArea_PC,LotArea_LotFrontage_PC
60,RL,NoAlley,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,GasA,Ex,Y,SBrkr,1,2,1,3,1,Gd,8,Typ,0,NoFirePlace,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,NoPool,NoFence,WD,Normal,208500,-201.42956386046808,507.00755854481764,-0.07607083024632288
20,RL,NoAlley,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,GasA,Ex,Y,SBrkr,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,NoPool,NoFence,WD,Normal,181500,204.57059030548203,-346.99248572041773,0.13350242109752664
60,RL,NoAlley,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,GasA,Ex,Y,SBrkr,1,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,NoPool,NoFence,WD,Normal,223500,-137.42953341540635,519.0075790061669,0.19685090725338306
70,RL,NoAlley,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,GasA,Gd,Y,SBrkr,1,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,NoPool,NoFence,WD,Abnorml,140000,-301.42948275297965,409.00757316608934,-0.005842517522166801
60,RL,NoAlley,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,GasA,Ex,Y,SBrkr,1,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,NoPool,NoFence,WD,Normal,250000,87.57055408322367,706.007660063992,0.5045441339957808
50,RL,NoAlley,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,GasA,Ex,Y,SBrkr,1,1,1,1,1,TA,5,Typ,0,NoFirePlace,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,0,0,NoPool,MnPrv,WD,Normal,143000,-261.42959525848175,219.00748034015095,0.5011098043308717
20,RL,NoAlley,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,GasA,Ex,Y,SBrkr,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,NoPool,NoFence,WD,Normal,307000,628.5706887995264,-346.9923368062229,0.14650009971906996
60,RL,NoAlley,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,GasA,Ex,Y,SBrkr,1,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,NoPool,NoFence,WD,Normal,200000,49.57054110713534,636.0076435402759,0.20590668886578278
50,RM,NoAlley,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,GasA,Gd,Y,FuseF,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,NoPool,NoFence,WD,Abnorml,129900,-105.42947925649241,405.00759019999504,-0.47317554727137434
190,RL,NoAlley,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,GasA,Ex,Y,SBrkr,1,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,NoPool,NoFence,WD,Normal,118000,-66.4294559207267,-346.99256589020916,-0.312946956817175
20,RL,NoAlley,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,GasA,Ex,Y,SBrkr,1,1,0,3,1,TA,5,Typ,0,NoFirePlace,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,NoPool,NoFence,WD,Normal,129500,-17.429483418538894,-346.99258356884786,0.2065095719470147
60,RL,NoAlley,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,GasA,Ex,Y,SBrkr,1,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,NoPool,NoFence,New,Partial,345000,117.57056723494202,795.0076768652652,0.3526977964539437
20,RL,NoAlley,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,GasA,TA,Y,SBrkr,1,1,0,2,1,TA,4,Typ,0,NoFirePlace,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,176,0,NoPool,NoFence,WD,Normal,144000,-145.42953706387516,-346.992649980102,0.3905898158334029
20,RL,NoAlley,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,GasA,Ex,Y,SBrkr,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,NoPool,NoFence,New,Partial,279500,436.570648521101,-346.9924003602731,0.2854977058232109
20,RL,NoAlley,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,GasA,TA,Y,SBrkr,1,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,NoPool,GdWo,WD,Normal,157000,195.5705877033124,-346.9924893403051,0.21027885037934801
45,RM,NoAlley,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,GasA,Ex,Y,FuseA,0,1,0,2,1,TA,5,Typ,0,NoFirePlace,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,NoPool,GdPrv,WD,Normal,132000,-225.4295613599321,-346.9926832028468,-0.47317554727137434
20,RL,NoAlley,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,GasA,Ex,Y,SBrkr,1,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,NoPool,NoFence,WD,Normal,149000,-53.429497543883485,-346.99260138342856,0.25032668907728883
90,RL,NoAlley,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,NoBasement,NoBasement,NoBasement,NoBasement,0,NoBasement,0,0,GasA,TA,Y,SBrkr,0,2,0,2,2,TA,6,Typ,0,NoFirePlace,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,NoPool,NoFence,WD,Normal,90000,-1057.4291939185607,-346.9924722742539,0.18698005625087077
20,RL,NoAlley,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,GasA,Ex,Y,SBrkr,1,1,1,3,1,Gd,6,Typ,0,NoFirePlace,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,NoPool,NoFence,WD,Normal,159000,56.57054354600723,-346.9925488082289,0.35590063412209183
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,GasA,TA,Y,SBrkr,0,1,0,3,1,TA,6,Min1,0,NoFirePlace,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,NoPool,MnPrv,COD,Abnorml,139000,-28.429339239520004,-346.9924557648751,-0.13928525783584433
60,RL,NoAlley,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,GasA,Ex,Y,SBrkr,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,NoPool,NoFence,New,Partial,325300,100.5705583778913,871.0076783252648,0.5883997556720182
45,RM,Grvl,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,GasA,Ex,Y,FuseF,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,NoPool,GdPrv,WD,Normal,139400,-420.42938360439985,-346.99255153941584,-0.24839817473834636
